9780781795807,21,"Rubin´s Review of Pathology",44.95,35.0
9780385410953,151,"MADRIGALS MAGIC KEY TO SPANISH",16.00,42.0
9780380003211,148,Alive,7.99,42.0
9780553275254,2316,"Lost in the Barrens",5.99,42.1
9780072259537,2746,"How to Do Everything With Windows Xp (How to Do Everything)",24.99,30.0
9780815174561,753,"PEDIATRIC EMERGENCY MEDICINE BOARD REVIEW-OP",39.95,20.0
9780201626247,846,"CUSTOMIZING AND OPTIMIZING WINDOWS NT - OP",13.48,40.0
9780198540120,28,"Guide to the Birds of Mexico and Northern Central America",63.00,40.0
9780385195775,151,"New Doubleday Cookbook (DRO)",35.00,40.0
9780486227948,11,"DESIGNS FROM PRE-COLUMBIAN MEXICO",8.95,40.0
9780679724414,139,"DISTANT NEIGHBORS",19.95,42.0
9781877864322,592,"Management in Two Cultures: Bridging the Gap between U. S. and Mexican Managers",23.95,23.0
9780451181688,193,"New World Spanish/English Dictionary",7.99,42.1
9780443044762,182,"PRINCIPLES AND PRACTICE OF BURNS MANAGEMENT-OP",350.00,20.0
9780443089046,182,"PEDIATRIC ANESTHESIA 3/E-OP",500.00,20.0
9780553287691,660,"Bantam Roget's Thesaurus",5.99,42.1
9780802150424,2230,"Labyrinth of Solitude : The Other Mexico, Return to the Labrinth of Solitude, Mexico and the United States, the Philanthropic Orge",17.00,42.0
9780486200842,11,"DESIGN MOTIFS IN ANCIENT MEXICO",9.95,40.0
9780292776586,112,"SKELETON AT THE FEAST",34.95,35.0
9780201403701,1036,"ACTIVE JAVA - OP",8.39,40.0
9780486277783,11,"German Picture Word Book",3.99,42.0
9780443051357,182,"Illustrated Colour Text Orthopaedics and Trauma ",38.95,35.0
9780340546437,835,"ANORECTAL DISEASE IN AIDS O/P",50.00,20.0
9780684818702,259,"JOY OF COOKING",35.00,40.0
9780940780057,26,"Four Minute Neorologic Exam-OP",6.50,35.0
9780471532330,40,"Forecasting Methods and Applications",244.95,35.0
9780812093223,302,"SPANISH NOW! 2 TEA",7.95,42.0
9782278044276,1038,"Tempo  2 Livre (14711313)  ",100.00,20.0
9780816037544,369,"AIDS DICTIONARY",24.95,35.0
9780030179938,52,"MANAGEMENT 4/E STUDY GUIDE - OP",15.00,12.0
9780721676340,716,"MARKELL AND VOGES MEDICAL PARASITOLOGY 8/E-OP",51.00,10.0
9780397515523,255,"RYPINS INTENSIVE REVIEWS ANATOMICAL SCIENCES O/P",25.00,35.0
9780811802505,359,"OAXACAN WOODCARVING",19.95,50.0
9781560228554,45,"EGG SCIENCE AND TECHNOLOGY",73.95,35.0
9780844257792,390,"NTC's Dictionary of Everyday American English Expressions",17.00,42.0
9780781717717,21,"HANDBOOK OF PEDIATRIC HIV CARE",34.00,35.0
9780815113966,130,"BURN CARE THERAPY-OP",59.95,20.0
9780881923698,847,"BOOK OF SALVIAS",29.95,40.0
9780811819282,359,"MEXICAN MURALISTS",35.00,42.0
9782011550163,1038,"CAFE CREME 1 LIVRE",100.00,20.0
9782278046904,1038,"BRAVO! 1 CAHIER (14717898)",80.00,20.0
9780809209101,355,"MAKE YOUR MARK IN RETAIL JOBS",30.00,25.0
9780521627665,8,"AIDS AND HIV",27.95,30.0
